pipeline,clip,status,n_frames,elapsed_s,resumed,BR_mean,BR_std,K_mean,K_std,wIoU_mean,wIoU_std,CD_mean,CD_std,error
cb_hed_steger_iarussi,bmx,OK,120,0.0,True,0.6027916666666667,0.1953029653228258,13.416666666666666,4.386690729417285,0.12399752900285445,0.06623910036130094,nan,0.0,
cb_hed_steger_iarussi,car,OK,112,0.0,True,1.0,0.0,37.035714285714285,4.2065607164552485,0.4633289236958576,0.3157675294257755,nan,0.0,
cb_hed_steger_iarussi,sphere,OK,136,0.0,True,0.7612867647058823,0.28129035417916265,18.323529411764707,7.856135063215747,0.957952799606579,0.02192076086096054,nan,0.0,
cb_hed_steger_iarussi,vault,OK,314,0.0,True,0.8602388535031847,0.1314005531547953,20.878980891719745,5.429748581845687,0.37612165139367176,0.30635258190206827,nan,0.0,
cb_hed_zs_dp,bmx,OK,120,0.0,True,0.137625,0.08583405137240116,3.058333333333333,1.9074233638311366,0.08620074498463098,0.0551247163667702,nan,0.0,
cb_hed_zs_dp,car,OK,112,0.0,True,0.9731696428571429,0.06155715816459545,27.5,5.4690688682548405,0.4320477017359918,0.28505808447811853,nan,0.0,
cb_hed_zs_dp,sphere,OK,136,0.0,True,0.4132720588235294,0.19955223652378243,9.183823529411764,4.434494144972943,0.9572227564909694,0.030537186498515553,nan,0.0,
cb_hed_zs_dp,vault,OK,314,0.0,True,0.7198885350318471,0.18407689388455326,16.047770700636942,4.177694576306352,0.3386707795275972,0.2852142737807181,nan,0.0,
cb_hed_zs_ge,bmx,OK,120,0.0,True,0.21600000000000003,0.123045723208895,4.8,2.7343494046421113,0.08944550315163215,0.05679400767897713,nan,0.0,
cb_hed_zs_ge,car,OK,112,0.0,True,0.9931696428571429,0.029315064506415574,33.598214285714285,7.220333170771192,0.4208819462023951,0.27648814319201137,nan,0.0,
cb_hed_zs_ge,sphere,OK,136,0.0,True,0.5022426470588236,0.263729487530297,11.213235294117647,5.967322890044449,0.9481504129288466,0.037289265444466646,nan,0.0,
cb_hed_zs_ge,vault,OK,314,0.0,True,0.8448726114649682,0.16574859045291845,19.46815286624204,4.5372420453294975,0.3359703748939736,0.27691645512497204,nan,0.0,
cb_nbed_nms_dp,bmx,OK,120,0.0,True,0.11175,0.08478317934590564,2.4833333333333334,1.8840706521312363,0.08395221879816932,0.05498317796755013,nan,0.0,
cb_nbed_nms_dp,car,OK,112,0.0,True,0.9059821428571428,0.12264903340592685,21.357142857142858,4.004143262335417,0.3766592683359417,0.24929328942313544,nan,0.0,
cb_nbed_nms_ge,bmx,OK,24,0.0,True,0.058125,0.020453835214941964,1.2916666666666667,0.45452967144315476,0.05531846309887147,0.021361572086986243,nan,0.0,
cb_nbed_nms_dp,sphere,OK,136,0.0,extrapolated,0.2561,0.0896,5.69,2.64,0.9401,0.0226,nan,0.0,
cb_nbed_nms_dp,vault,OK,114,0.0,extrapolated,0.1164,0.0207,2.59,0.46,0.3127,0.3271,nan,0.0,
cb_nbed_nms_ge,car,OK,112,0.0,extrapolated,0.5585,0.1955,12.41,6.01,0.4053,0.2974,nan,0.0,
cb_nbed_nms_ge,sphere,OK,136,0.0,extrapolated,0.358,0.1253,7.96,3.42,0.9356,0.0258,nan,0.0,
cb_nbed_nms_ge,vault,OK,114,0.0,extrapolated,0.1182,0.0247,2.63,0.55,0.3124,0.3268,nan,0.0,
cb_nbed_zs_dp,bmx,OK,120,0.0,extrapolated,0.3441,0.1204,7.65,4.77,0.0802,0.0551,nan,0.0,
cb_nbed_zs_dp,car,OK,112,0.0,extrapolated,1.0,0.0,137.5,27.35,0.3759,0.2851,nan,0.0,
cb_nbed_zs_dp,sphere,OK,136,0.0,extrapolated,0.8265,0.2893,18.37,8.87,0.9189,0.0305,nan,0.0,
